Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),1.5256426598958596e-4,1.5163597748151284e-4,1.543579423840283e-4,3.3845653114568026e-6,1.8527869300263462e-6,5.209974794003706e-6
arith/arith [308B]/megaparsec  (String),5.4429530608027266e-5,5.342876197536538e-5,5.649967771236237e-5,4.114000656364098e-6,2.433151909050456e-6,7.157312607575679e-6
arith/arith [308B]/megaparsec  (Text),6.0666100852179647e-5,5.944793085654891e-5,6.191952742535289e-5,3.674952597019639e-6,3.0559082984534105e-6,4.427027389084694e-6
arith/arith [1230B]/typed-peg   (String),6.41569009036889e-4,6.304122401247545e-4,6.540135018609499e-4,3.650042551785752e-5,3.1828530284279765e-5,4.46076923689082e-5
arith/arith [1230B]/megaparsec  (String),2.1310150438636023e-4,2.1089774683319103e-4,2.158023777956988e-4,7.192610573071487e-6,5.791331185426038e-6,9.243445711513478e-6
arith/arith [1230B]/megaparsec  (Text),2.645860973449705e-4,2.597541359647641e-4,2.7392463742006843e-4,1.8895830072931785e-5,1.20796915941741e-5,3.164999172321418e-5
arith/arith [4897B]/typed-peg   (String),3.0392989547002986e-3,2.9691654356891776e-3,3.1198041932917154e-3,2.2505503566286965e-4,1.719321812973504e-4,3.050002704060337e-4
arith/arith [4897B]/megaparsec  (String),1.0040304332002902e-3,9.832963380912174e-4,1.0331252690184037e-3,7.144855148809263e-5,5.65569129219558e-5,9.640485444729872e-5
arith/arith [4897B]/megaparsec  (Text),1.2003393263740913e-3,1.1733888699599377e-3,1.2336193803126785e-3,8.540084799799659e-5,6.925661602564377e-5,1.028832111805427e-4
csv/csv [1105B]/typed-peg   (String),5.723662873545559e-4,5.391406043015911e-4,6.194040477088369e-4,1.2251822955940028e-4,8.737145696818892e-5,1.5854613588285545e-4
csv/csv [1105B]/megaparsec  (String),1.639708680572723e-4,1.6087859683033007e-4,1.7056387734159126e-4,1.2456219115895107e-5,6.407252211596247e-6,1.9147966195185973e-5
csv/csv [1105B]/megaparsec  (Text),2.053840183110914e-4,2.003509018223228e-4,2.1122259121393166e-4,1.5860633107789996e-5,1.1864111804666869e-5,2.054309187788886e-5
csv/csv [5517B]/typed-peg   (String),2.4653525944272467e-3,2.4390280616400353e-3,2.5373638639677714e-3,1.1845094696413306e-4,5.991635807565275e-5,2.316613715853273e-4
csv/csv [5517B]/megaparsec  (String),8.645904616210785e-4,8.589665962808037e-4,8.763100524865507e-4,2.3216510407141014e-5,1.1055577439494698e-5,3.753629895454395e-5
csv/csv [5517B]/megaparsec  (Text),1.0587854985970877e-3,1.0511374568094533e-3,1.0705601075650499e-3,2.818991901916566e-5,2.0231727246561386e-5,3.8022086977085456e-5
csv/csv [22043B]/typed-peg   (String),1.0197079677810715e-2,9.960279996603587e-3,1.0479926287687603e-2,6.469896740047285e-4,4.840309311315377e-4,8.445739816408982e-4
csv/csv [22043B]/megaparsec  (String),4.767975504258809e-3,4.697343840937334e-3,4.867498170637599e-3,2.2667710886039663e-4,1.709699609933074e-4,2.866523510991301e-4
csv/csv [22043B]/megaparsec  (Text),5.8554646449151485e-3,5.6614170641710645e-3,6.110230563904944e-3,5.947582302855828e-4,4.096797389556189e-4,7.764312481722356e-4
idents/idents [799B]/typed-peg   (String),1.176843908684247e-3,1.1329242879552267e-3,1.249537819780238e-3,1.6090067321077912e-4,1.0758031113970524e-4,2.572981712069142e-4
idents/idents [799B]/megaparsec  (String),2.029737034824615e-5,1.9874391177571177e-5,2.172614714659593e-5,1.933833104083835e-6,7.038143231118053e-7,4.0137019220434166e-6
idents/idents [799B]/megaparsec  (Text),4.529961280040182e-5,4.410533622916802e-5,4.6943310329749556e-5,3.956757134350645e-6,2.9814904946194134e-6,5.234932258565568e-6
idents/idents [3999B]/typed-peg   (String),5.361784085002063e-3,5.270540546914914e-3,5.548276615307214e-3,3.2262392917698087e-4,2.07657590328447e-4,4.9247777006193e-4
idents/idents [3999B]/megaparsec  (String),1.0545764900937412e-4,1.0313394484794345e-4,1.0869261895075723e-4,7.814223869169632e-6,5.766235618182921e-6,1.022804459631207e-5
idents/idents [3999B]/megaparsec  (Text),2.3480353897821935e-4,2.2984327241430902e-4,2.4192215160966495e-4,1.7000262699168174e-5,1.3448533216224264e-5,2.038905705085299e-5
idents/idents [15999B]/typed-peg   (String),2.2224661461544854e-2,2.1413180722565074e-2,2.3509285283309346e-2,1.9713782274559627e-3,1.3713210498504933e-3,2.6294742829688893e-3
idents/idents [15999B]/megaparsec  (String),4.897742008791181e-4,4.7674543581417993e-4,5.208453112878819e-4,5.898709056620831e-5,2.849302646399946e-5,1.113250293946145e-4
idents/idents [15999B]/megaparsec  (Text),1.1858514631193041e-3,1.1389646779346417e-3,1.2561958929397e-3,1.7175526029316633e-4,1.290966160244125e-4,2.4466705122859467e-4
json/json [811B]/typed-peg   (String),3.4059580705975937e-4,3.3536821204188704e-4,3.4944264923832797e-4,1.9784678651553363e-5,1.430548409457994e-5,3.054784913291193e-5
json/json [811B]/megaparsec  (String),1.0077269704104679e-4,9.750459411085912e-5,1.0599972318674981e-4,1.1851864319820348e-5,8.226582823424146e-6,1.946268762629268e-5
json/json [811B]/megaparsec  (Text),1.5048111309023764e-4,1.4640208762561934e-4,1.5401189177281847e-4,1.1324679198532943e-5,9.897872133129699e-6,1.3013613107531242e-5
json/json [4062B]/typed-peg   (String),2.1865354522616703e-3,2.1013003944949133e-3,2.3922406668512343e-3,3.659029547953395e-4,2.3050466154740323e-4,6.347932907763727e-4
