Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),5.956367767335838e-5,5.79966217225721e-5,6.234613605014153e-5,6.034699588218454e-6,3.990290618188838e-6,8.73077626847807e-6
arith/arith [308B]/megaparsec  (String),5.293935199879819e-5,5.1968936652990996e-5,5.509860542684785e-5,4.070149687832017e-6,1.876427230101562e-6,7.599916459477227e-6
arith/arith [308B]/megaparsec  (Text),5.9714126132965425e-5,5.941364206420908e-5,6.012413254091059e-5,1.0291381198712237e-6,7.317645424155907e-7,1.4503221832373575e-6
arith/arith [1230B]/typed-peg   (String),2.4540567759246215e-4,2.3873215317060052e-4,2.553499293596849e-4,2.3512394374094248e-5,1.654072606896073e-5,3.085700800888369e-5
arith/arith [1230B]/megaparsec  (String),2.1699634091008535e-4,2.1361712525310353e-4,2.2182947435657796e-4,1.1796085440915816e-5,8.927407245516624e-6,1.7081384551684937e-5
arith/arith [1230B]/megaparsec  (Text),2.787904720056714e-4,2.7305475103977053e-4,2.855435236307521e-4,1.821041052810811e-5,1.405423941011756e-5,2.3708557918830422e-5
arith/arith [4897B]/typed-peg   (String),1.101386349192942e-3,1.0770816527759192e-3,1.1338814211930923e-3,8.002377925368101e-5,5.996388940619913e-5,1.102403342896209e-4
arith/arith [4897B]/megaparsec  (String),9.737712611613612e-4,9.52757591182174e-4,9.969097312379543e-4,6.434590208643183e-5,5.433286869809575e-5,7.875221147589019e-5
arith/arith [4897B]/megaparsec  (Text),1.2211613684296764e-3,1.2034240466698167e-3,1.2501529702461111e-3,6.84415796620221e-5,4.991049162992686e-5,9.516379811827601e-5
csv/csv [1105B]/typed-peg   (String),1.6941736011168626e-4,1.6489748056452622e-4,1.7769149791900228e-4,1.7048410538505873e-5,1.0407035942048949e-5,2.549663607326795e-5
csv/csv [1105B]/megaparsec  (String),1.6886519716783027e-4,1.648869435974158e-4,1.735215685022957e-4,1.2785247397938873e-5,1.0552254007524105e-5,1.6610115694614887e-5
csv/csv [1105B]/megaparsec  (Text),1.9716517405912428e-4,1.9194483931109314e-4,2.0323724866322458e-4,1.626632684962875e-5,1.2330660203135364e-5,2.0213293044369587e-5
csv/csv [5517B]/typed-peg   (String),9.143560288648617e-4,8.912334782799292e-4,9.672960820530389e-4,9.580243013108322e-5,4.9858505141847794e-5,1.782034742744771e-4
