Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),7.934361677267356e-5,7.724808760668397e-5,8.163392928590235e-5,7.4572400881067085e-6,5.851286124061476e-6,1.0386420699552274e-5
arith/arith [308B]/megaparsec  (String),6.913400188109862e-5,6.841933585501104e-5,7.000500602227283e-5,2.686533262297411e-6,2.2696231235641586e-6,3.271492150707093e-6
arith/arith [308B]/megaparsec  (Text),8.880925961456511e-5,8.559249855341851e-5,9.300471946097039e-5,1.3715975491556123e-5,1.0396661801931912e-5,1.886525993665986e-5
arith/arith [1230B]/typed-peg   (String),3.068934393566679e-4,2.971760772216537e-4,3.2050001483586467e-4,3.9240594529338944e-5,3.1600733353922235e-5,5.204900953428556e-5
arith/arith [1230B]/megaparsec  (String),2.4562558809834945e-4,2.4094906413585314e-4,2.5282767079626365e-4,1.8287387533503036e-5,1.5173133830521721e-5,2.3129861766611052e-5
arith/arith [1230B]/megaparsec  (Text),2.9552998903517537e-4,2.8798110271551576e-4,3.0607759495696475e-4,3.124981773926072e-5,2.6110244463133492e-5,3.7648765492874366e-5
arith/arith [4897B]/typed-peg   (String),1.194126391817012e-3,1.1615586900919565e-3,1.2394338165469376e-3,1.2458268548581257e-4,9.054013317108162e-5,1.7767837434819745e-4
arith/arith [4897B]/megaparsec  (String),1.01191175132411e-3,9.941300788440769e-4,1.0336415198564024e-3,6.353543259347159e-5,5.1942503538464355e-5,7.951110995552725e-5
arith/arith [4897B]/megaparsec  (Text),1.1966704544706017e-3,1.1771408985877438e-3,1.22073491622534e-3,7.622282898221899e-5,6.3470439218029e-5,9.307898446043596e-5
csv/csv [1105B]/typed-peg   (String),1.8155291932767995e-4,1.7925965124353902e-4,1.8564452938357292e-4,9.570616476953427e-6,5.888770797883979e-6,1.570652039757269e-5
csv/csv [1105B]/megaparsec  (String),1.663019210035419e-4,1.6384596903043313e-4,1.7019816703166697e-4,1.0241285745136134e-5,7.645480529079734e-6,1.3755465325942515e-5
csv/csv [1105B]/megaparsec  (Text),2.3583452201103157e-4,2.2986435113380384e-4,2.4272109275251053e-4,2.111663737342478e-5,1.7425250478090892e-5,2.6641635874601557e-5
csv/csv [5517B]/typed-peg   (String),1.1484087559768723e-3,1.1250435850106689e-3,1.2034449231816855e-3,1.1273604927914516e-4,6.312027658796296e-5,2.0539064449995762e-4
csv/csv [5517B]/megaparsec  (String),1.0396227063146882e-3,1.0067447607623548e-3,1.091362088572354e-3,1.4097486802923091e-4,9.150520719511611e-5,2.1527346099730263e-4
csv/csv [5517B]/megaparsec  (Text),1.2361595943499422e-3,1.207339071982803e-3,1.2674136455597166e-3,9.800866120769117e-5,8.062722413046339e-5,1.2379146169952545e-4
csv/csv [22043B]/typed-peg   (String),6.633808596424816e-3,6.516128161161151e-3,6.769376906951115e-3,3.768714954453309e-4,2.938190689147124e-4,4.9016389623694e-4
csv/csv [22043B]/megaparsec  (String),5.649208261890726e-3,5.430341631807594e-3,5.914183001479101e-3,6.99518537124227e-4,5.255902568308235e-4,9.234709639552174e-4
csv/csv [22043B]/megaparsec  (Text),6.816648298482551e-3,6.650906532155771e-3,7.0217979844579715e-3,5.21757850748602e-4,4.1310777206804845e-4,6.537780706833382e-4
idents/idents [799B]/typed-peg   (String),4.6449785755557986e-5,4.5493331275557834e-5,4.7855208113089636e-5,3.805127454018063e-6,2.8674483038175836e-6,5.893158999819141e-6
idents/idents [799B]/megaparsec  (String),2.2081780118390362e-5,2.1675362304178905e-5,2.2542087896129064e-5,1.456881022818551e-6,1.2334586878286639e-6,1.8082756752482803e-6
idents/idents [799B]/megaparsec  (Text),4.401468764574539e-5,4.340879356130757e-5,4.4907799596035416e-5,2.4666857053987142e-6,1.7472133175903122e-6,3.614112295915013e-6
idents/idents [3999B]/typed-peg   (String),2.1926296665772686e-4,2.1257333435049054e-4,2.267837816406918e-4,2.3376973636768425e-5,1.7261763536949195e-5,3.8444227031426326e-5
idents/idents [3999B]/megaparsec  (String),1.2317230076763953e-4,1.2049073794020691e-4,1.264056506498092e-4,9.819818628132023e-6,7.80318311298599e-6,1.2965962534116471e-5
idents/idents [3999B]/megaparsec  (Text),2.6691446073255593e-4,2.57497484765412e-4,2.773351704054181e-4,3.25784396876277e-5,2.845773854671056e-5,3.9265631492505786e-5
idents/idents [15999B]/typed-peg   (String),9.752199104047602e-4,9.509239287906106e-4,1.005162706373031e-3,9.031636703296387e-5,7.475185840293724e-5,1.1474366657359047e-4
idents/idents [15999B]/megaparsec  (String),5.48007615505163e-4,5.31007857479715e-4,5.688651983701007e-4,6.136906029641463e-5,4.9611541545793116e-5,7.743811916581814e-5
idents/idents [15999B]/megaparsec  (Text),1.294866790651638e-3,1.2555046623240712e-3,1.3306902119154757e-3,1.2209526108064898e-4,1.0260209565693327e-4,1.548801328317401e-4
json/json [811B]/typed-peg   (String),1.4281090985369477e-4,1.3837971036849197e-4,1.4702726533671025e-4,1.411555113903948e-5,1.1788915580040454e-5,1.6843606584741208e-5
json/json [811B]/megaparsec  (String),1.105627528896379e-4,1.0695925764401382e-4,1.1507330567612531e-4,1.4454292183183568e-5,1.1499706847229104e-5,2.1594620601383766e-5
json/json [811B]/megaparsec  (Text),1.5179858250270365e-4,1.4812035459529902e-4,1.5558041697140816e-4,1.2387156841381291e-5,1.0292851062670855e-5,1.4828222311031886e-5
json/json [4062B]/typed-peg   (String),7.238743580384038e-4,7.063378924874925e-4,7.427756257172938e-4,6.193993757163958e-5,5.298918476352267e-5,7.542850816144861e-5
json/json [4062B]/megaparsec  (String),4.8731928262624326e-4,4.7645771076281076e-4,4.989913045636321e-4,3.730069155108025e-5,3.188845068840799e-5,4.505089456232889e-5
json/json [4062B]/megaparsec  (Text),7.210077371663386e-4,7.074839359672883e-4,7.347413648714474e-4,4.530366315688469e-5,3.7481975088347254e-5,5.5297959968551295e-5
json/json [16257B]/typed-peg   (String),3.988747890222956e-3,3.935349711831927e-3,4.049024981126946e-3,1.9013713142311726e-4,1.4521017242056621e-4,2.502939879018159e-4
json/json [16257B]/megaparsec  (String),2.416048455982364e-3,2.373438153196546e-3,2.4588354015306593e-3,1.4988430973371164e-4,1.2933639378026975e-4,1.8358172226308166e-4
json/json [16257B]/megaparsec  (Text),3.5004454627186746e-3,3.3934751715086094e-3,3.633220354265527e-3,3.761612806421952e-4,3.129757230838241e-4,5.083132822845973e-4
nested/nested [101B]/typed-peg   (String),1.6054411408867246e-5,1.5660914270670503e-5,1.6668286715636764e-5,1.6693136860374595e-6,1.1439778771246473e-6,2.5995641037959386e-6
nested/nested [101B]/megaparsec  (String),1.129512451562435e-5,1.1062570441563e-5,1.1506899352840238e-5,7.68582534042979e-7,6.521287416432555e-7,9.251597176894188e-7
nested/nested [101B]/megaparsec  (Text),1.7360799428578023e-5,1.6943936437920378e-5,1.7824479162698896e-5,1.4657891926757336e-6,1.2226122230389164e-6,1.85425405741315e-6
nested/nested [401B]/typed-peg   (String),5.8775112600395925e-5,5.713220574913804e-5,6.45948978894518e-5,8.816291614343165e-6,3.6667515855023136e-6,1.992192184187684e-5
nested/nested [401B]/megaparsec  (String),4.684860057021224e-5,4.6015580064080433e-5,4.786138202783831e-5,3.0782198363794754e-6,2.4738917370872505e-6,3.889293816152938e-6
nested/nested [401B]/megaparsec  (Text),6.757305320988254e-5,6.624939378902956e-5,6.883024091766343e-5,4.868675838598623e-6,4.1601367204446995e-6,5.715003794035086e-6
"quoted/quoted [749B]/typed-peg   (!'""' .)*",4.6778191825981266e-5,4.589744400300898e-5,4.901405571403278e-5,4.47738224640132e-6,2.6045141034025323e-6,7.942255063021268e-6
"quoted/quoted [749B]/typed-peg   [^""]*",3.203791962297981e-5,3.151084375122595e-5,3.2561061808414786e-5,1.7569004883074492e-6,1.5059240689264329e-6,2.1544965230590247e-6
quoted/quoted [749B]/megaparsec  (String),1.725410357852329e-5,1.6835974483211383e-5,1.7690971584416014e-5,1.4248211046624069e-6,1.1806328648258304e-6,1.7302484419385305e-6
quoted/quoted [749B]/megaparsec  (Text),4.08060485190142e-5,3.980464190583231e-5,4.188723655739605e-5,3.599810364521712e-6,2.991612750255307e-6,4.365891324436199e-6
"quoted/quoted [2999B]/typed-peg   (!'""' .)*",1.7953398967869216e-4,1.7702449023479706e-4,1.8242179648516623e-4,9.515564660477257e-6,7.810161210261459e-6,1.3352938126267137e-5
"quoted/quoted [2999B]/typed-peg   [^""]*",1.353182422653303e-4,1.3164496260501004e-4,1.3972316918132836e-4,1.299105570008959e-5,1.0551048455004775e-5,1.5623455997763372e-5
quoted/quoted [2999B]/megaparsec  (String),6.674310775662481e-5,6.542895110683095e-5,6.845688725840819e-5,4.723438663113959e-6,3.664022470490616e-6,6.293087035646046e-6
quoted/quoted [2999B]/megaparsec  (Text),1.5403481027580427e-4,1.5124922936549697e-4,1.5754413429645793e-4,1.098525288015289e-5,8.24454356332314e-6,1.5414966457528886e-5
