Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),6.0679975324533565e-5,5.981376907087583e-5,6.162349255169269e-5,2.9691427291815886e-6,2.2541579466814207e-6,4.104908399130904e-6
arith/arith [308B]/megaparsec  (String),5.859147918892037e-5,5.749977887638199e-5,5.976412835093855e-5,3.7392772261099454e-6,3.0628719306293226e-6,4.569786902303826e-6
arith/arith [308B]/megaparsec  (Text),6.801782242103347e-5,6.655189737915027e-5,6.963039856508696e-5,5.24325865802634e-6,4.247292303580269e-6,6.8082769702824616e-6
arith/arith [1230B]/typed-peg   (String),2.504095206389114e-4,2.4432110660006946e-4,2.5714964403132374e-4,2.0734881891414223e-5,1.8022113136057636e-5,2.42655941205775e-5
arith/arith [1230B]/megaparsec  (String),2.340313204738838e-4,2.3159966036873095e-4,2.3679451435505182e-4,8.883615507857015e-6,6.504145496085782e-6,1.3524269610216076e-5
arith/arith [1230B]/megaparsec  (Text),2.7269218286397364e-4,2.686172482346503e-4,2.7683265946729124e-4,1.4338124069755584e-5,1.1530914947895232e-5,1.7075820361842316e-5
arith/arith [4897B]/typed-peg   (String),1.0028013819175468e-3,9.838403912695566e-4,1.0246008068837329e-3,6.593064314504646e-5,5.659547644143415e-5,7.618637749556274e-5
arith/arith [4897B]/megaparsec  (String),1.0164492270982128e-3,9.948344508752495e-4,1.0406695918352572e-3,7.354774372560158e-5,6.352336062132305e-5,8.484512924218177e-5
arith/arith [4897B]/megaparsec  (Text),1.2809882594045493e-3,1.2500867336815516e-3,1.3222956842225228e-3,1.2009870704106315e-4,9.457469096346118e-5,1.5689962778316178e-4
csv/csv [1105B]/typed-peg   (String),1.6393672988935002e-4,1.603948864636253e-4,1.6931350515469608e-4,1.4793117290509098e-5,1.1116935474965649e-5,1.9958582423270553e-5
csv/csv [1105B]/megaparsec  (String),1.5280808724787444e-4,1.5114807796381697e-4,1.5487313093191142e-4,6.202566790390917e-6,4.59853209556369e-6,7.809545010379056e-6
csv/csv [1105B]/megaparsec  (Text),1.8072790206529737e-4,1.7925103234731554e-4,1.8442743842037488e-4,7.612887974370958e-6,4.1321234687130414e-6,1.2830908266934862e-5
