Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),1.9618583224170814e-4,1.765840389547561e-4,2.214311125348945e-4,7.38062274932133e-5,5.620255214093929e-5,9.807187117708833e-5
arith/arith [308B]/typed-peg   (Text),2.0171762062609245e-4,1.8660025492787526e-4,2.2634641333544122e-4,5.9888722129769935e-5,4.54772407707247e-5,8.016571981335035e-5
arith/arith [308B]/typed-peg   (ByteString),1.8208311019034669e-4,1.6675164628088797e-4,2.0563404268224666e-4,6.385276052650451e-5,4.571754989856951e-5,9.359858273224677e-5
arith/arith [308B]/megaparsec  (String),1.9631378907326866e-4,1.8194401262109302e-4,2.1482333892678692e-4,5.665364586391082e-5,4.273111023438536e-5,7.464782662738023e-5
arith/arith [308B]/megaparsec  (Text),2.1131280583169397e-4,1.9154607346146612e-4,2.3875185766987942e-4,7.542384553593192e-5,5.543576942309801e-5,9.852034187297371e-5
arith/arith [1230B]/typed-peg   (String),8.009052492693972e-4,7.303228566126451e-4,8.787207731176571e-4,2.3224411031295007e-4,1.8493207077676732e-4,2.9482313288950896e-4
arith/arith [1230B]/typed-peg   (Text),8.141549675323976e-4,7.552854212820265e-4,9.136402426550404e-4,2.526235990380256e-4,1.8438669359417255e-4,3.588836076363871e-4
arith/arith [1230B]/typed-peg   (ByteString),6.95903212708245e-4,6.42153434854745e-4,7.649587819069139e-4,2.0770418763699995e-4,1.5515796700192274e-4,2.853427929993929e-4
arith/arith [1230B]/megaparsec  (String),7.669709627540854e-4,6.67731364867088e-4,9.274915390486281e-4,4.1111987884756633e-4,3.0011515401418926e-4,5.53222839636902e-4
arith/arith [1230B]/megaparsec  (Text),8.732621729931453e-4,7.952237784224687e-4,1.0078972107507556e-3,3.49564663865464e-4,2.3619308404147538e-4,5.158042915245918e-4
arith/arith [4897B]/typed-peg   (String),2.833435351372736e-3,2.6242468199912353e-3,3.074704543500056e-3,6.79575518205523e-4,5.533398636221675e-4,8.389663564892048e-4
arith/arith [4897B]/typed-peg   (Text),3.0369579924952273e-3,2.8055718179985606e-3,3.35531686304296e-3,8.94568369587435e-4,7.090487941195325e-4,1.1618515518584769e-3
arith/arith [4897B]/typed-peg   (ByteString),2.874042817178015e-3,2.6800630677184367e-3,3.2543922765926243e-3,8.579536467724264e-4,5.064895112674015e-4,1.545633406929293e-3
arith/arith [4897B]/megaparsec  (String),3.181267394189783e-3,2.929648638811734e-3,3.5175474143540448e-3,9.334607438475169e-4,7.596640035476636e-4,1.243285776525797e-3
arith/arith [4897B]/megaparsec  (Text),3.607890380724166e-3,3.304729409460915e-3,4.018366601979673e-3,1.052042165015255e-3,7.157899735324295e-4,1.5493197666685595e-3
csv/csv [1105B]/typed-peg   (String),5.241895536567621e-4,4.890655558041722e-4,5.700124526224352e-4,1.4800227615524586e-4,1.166271336255398e-4,2.2186282537206006e-4
csv/csv [1105B]/typed-peg   (Text),5.940618847174901e-4,5.36366367059407e-4,6.746952269952917e-4,2.2488788567158311e-4,1.5347168607086206e-4,3.123932948605111e-4
csv/csv [1105B]/typed-peg   (ByteString),4.955790721373405e-4,4.514402512747566e-4,5.587610375750794e-4,1.766875198848949e-4,1.2807741786249974e-4,2.5494688374807936e-4
csv/csv [1105B]/megaparsec  (String),5.13182158103158e-4,4.727782506593219e-4,5.715421644056735e-4,1.5286199483663778e-4,1.0792722282398073e-4,2.1730126707621895e-4
csv/csv [1105B]/megaparsec  (Text),6.55088660649027e-4,5.988019164212496e-4,7.34872616648329e-4,1.974094160032171e-4,1.3629614931933053e-4,3.142356275388772e-4
csv/csv [5517B]/typed-peg   (String),2.6825893020672588e-3,2.50190737144904e-3,2.8803466428672926e-3,6.101538404958306e-4,4.919844974932521e-4,7.770455588627028e-4
csv/csv [5517B]/typed-peg   (Text),2.7748986488855274e-3,2.5618322781323323e-3,3.0084258594188355e-3,7.173276088149978e-4,5.961628858784747e-4,8.642736339438491e-4
csv/csv [5517B]/typed-peg   (ByteString),2.0326552045986414e-3,1.8792328000562133e-3,2.279421242764018e-3,6.126340484239344e-4,4.215049494220463e-4,1.000054951097215e-3
csv/csv [5517B]/megaparsec  (String),2.5240942471716162e-3,2.3271481851211934e-3,2.770358039465226e-3,7.227341326634277e-4,5.351782881734906e-4,1.0030218874097865e-3
csv/csv [5517B]/megaparsec  (Text),3.316697203684448e-3,3.0680538546849815e-3,3.7051715009899003e-3,1.005339499244193e-3,6.859381125744183e-4,1.5689512799307115e-3
csv/csv [22043B]/typed-peg   (String),1.173916991345324e-2,1.0913548740452557e-2,1.292534926043465e-2,2.6391571301884673e-3,1.8123127116288172e-3,3.688085040432686e-3
csv/csv [22043B]/typed-peg   (Text),1.1343435993063698e-2,1.0676567604117327e-2,1.2088804341898437e-2,1.9418971263260036e-3,1.5405611649479854e-3,2.6689117459614115e-3
csv/csv [22043B]/typed-peg   (ByteString),1.1337532945980012e-2,1.065286660919909e-2,1.2473425709999032e-2,2.537905683358747e-3,1.4395639491326208e-3,4.576255181681502e-3
csv/csv [22043B]/megaparsec  (String),1.2422575501616842e-2,1.160027258486716e-2,1.3558981266175975e-2,2.454761076670205e-3,1.7976774248089022e-3,3.644557275267912e-3
csv/csv [22043B]/megaparsec  (Text),1.5700266069836325e-2,1.443828775428747e-2,1.9044655541770223e-2,4.597337813581094e-3,2.0919854956533714e-3,8.479484795505487e-3
idents/idents [799B]/typed-peg   (String),8.408809758611617e-5,7.684200894294436e-5,9.459336730106256e-5,3.1081034199949604e-5,2.2138579808976585e-5,4.386839565941307e-5
idents/idents [799B]/typed-peg   (Text),1.0861499428484593e-4,9.950438328640786e-5,1.1968006177774398e-4,3.260178931140706e-5,2.5464103482529595e-5,4.272898554628716e-5
idents/idents [799B]/typed-peg   (ByteString),5.7594970321245646e-5,5.213129474373523e-5,6.50215060516965e-5,2.0290584729859344e-5,1.4178010281307905e-5,2.918325573550191e-5
idents/idents [799B]/megaparsec  (String),9.254221460313722e-5,8.479811270211245e-5,1.0750898699172121e-4,3.376936927959394e-5,2.1569628459061975e-5,5.775513252643821e-5
idents/idents [799B]/megaparsec  (Text),1.1668006480907055e-4,1.071662592084602e-4,1.3051248817532652e-4,3.7531378682414694e-5,2.8625555686365172e-5,4.9563832070725986e-5
idents/idents [3999B]/typed-peg   (String),3.985933589514306e-4,3.6767037743602694e-4,4.316853070701743e-4,1.026093140129035e-4,8.531988282886001e-5,1.404931923272741e-4
idents/idents [3999B]/typed-peg   (Text),4.4480050244512513e-4,4.1281772677688905e-4,4.896447637174699e-4,1.2053867624058697e-4,9.384505692035e-5,1.7874174012894614e-4
idents/idents [3999B]/typed-peg   (ByteString),2.81266197250919e-4,2.597846106075524e-4,3.1132891681183417e-4,8.306368105901826e-5,6.439892518277093e-5,1.1155249658689632e-4
idents/idents [3999B]/megaparsec  (String),4.449656524285928e-4,4.097744152451185e-4,4.973581369783599e-4,1.3860451034984942e-4,9.46506992614075e-5,2.121933793987343e-4
idents/idents [3999B]/megaparsec  (Text),4.902422852937547e-4,4.552453699712875e-4,5.357395306502666e-4,1.441604871981168e-4,1.053835347286971e-4,2.0472368904868093e-4
idents/idents [15999B]/typed-peg   (String),1.5986077289921266e-3,1.4651670623256948e-3,1.806335653894718e-3,5.578827406418365e-4,3.684975187039234e-4,9.724563519061266e-4
idents/idents [15999B]/typed-peg   (Text),2.0847989151435856e-3,1.9522345382576042e-3,2.2586059398985994e-3,4.899524712547985e-4,3.5547375363704825e-4,6.807432508788545e-4
idents/idents [15999B]/typed-peg   (ByteString),1.1689459261439836e-3,1.0815856779319035e-3,1.3096721815067593e-3,3.680961404137685e-4,2.916783403996807e-4,4.812660821940299e-4
idents/idents [15999B]/megaparsec  (String),1.935540129136868e-3,1.7951082500884566e-3,2.114642075044232e-3,5.274847448541905e-4,3.9336148941128277e-4,7.411621207760929e-4
