Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),6.462827629720635e-5,6.366302529246264e-5,6.564724261215674e-5,3.1667741411400844e-6,2.5512005163758137e-6,4.3403419761931705e-6
arith/arith [308B]/megaparsec  (String),5.5077325556528494e-5,5.423414814104996e-5,5.594470830612325e-5,2.9799270357023195e-6,2.4540234427935435e-6,3.5834485346666886e-6
arith/arith [308B]/megaparsec  (Text),6.757238610838532e-5,6.602998990562533e-5,6.897924383097966e-5,4.9414091029560215e-6,4.237797646035663e-6,5.765599903381763e-6
arith/arith [1230B]/typed-peg   (String),2.717101369321207e-4,2.679167686438494e-4,2.757213448665798e-4,1.3577927403179887e-5,1.0494345590464593e-5,1.7581659267720012e-5
arith/arith [1230B]/megaparsec  (String),2.508076870980893e-4,2.443074321296569e-4,2.6462880844671093e-4,2.9911094144052223e-5,1.894375433163615e-5,5.0786175375807814e-5
arith/arith [1230B]/megaparsec  (Text),3.961433770883032e-4,3.6283560048444954e-4,4.32616289003137e-4,1.22527391030427e-4,1.049666570557917e-4,1.4480473230406163e-4
arith/arith [4897B]/typed-peg   (String),1.187119771236592e-3,1.1412765473635673e-3,1.2806929112883134e-3,2.2612628906714318e-4,1.2788130452420966e-4,4.0814184596768424e-4
arith/arith [4897B]/megaparsec  (String),9.154101725046286e-4,8.964444644974666e-4,9.418237535174831e-4,7.982414684362354e-5,6.0907869093914604e-5,1.1390655763670571e-4
arith/arith [4897B]/megaparsec  (Text),1.2875188694743823e-3,1.2444796728799464e-3,1.3599635109779453e-3,1.8330676743177673e-4,1.3247728643618194e-4,3.243125295458274e-4
csv/csv [1105B]/typed-peg   (String),1.8841092879703035e-4,1.8397702110495924e-4,1.973300923118701e-4,2.1118278181289812e-5,1.2302923852453413e-5,3.750410883395144e-5
csv/csv [1105B]/megaparsec  (String),1.8368933943072963e-4,1.8144551812606296e-4,1.8598106867680935e-4,7.395741792225596e-6,6.083699443050653e-6,9.034313332839714e-6
csv/csv [1105B]/megaparsec  (Text),2.6826559050572744e-4,2.514980645349597e-4,2.895818524306289e-4,6.025479792165584e-5,5.2903014515080684e-5,6.94463897817071e-5
csv/csv [5517B]/typed-peg   (String),1.0945186867107127e-3,1.0834932669547272e-3,1.1080276643783567e-3,4.347726101412736e-5,3.5704246278600854e-5,5.358501938470376e-5
csv/csv [5517B]/megaparsec  (String),1.0241717426428157e-3,1.005071909468882e-3,1.0534683874185429e-3,7.562872194564782e-5,5.63439769929908e-5,1.145448607580553e-4
csv/csv [5517B]/megaparsec  (Text),1.2870450770055579e-3,1.239053602251028e-3,1.3668174167182255e-3,2.0546304182396443e-4,1.3862919477974713e-4,2.908585353080311e-4
csv/csv [22043B]/typed-peg   (String),6.3976235048649206e-3,6.290444847190972e-3,6.506381595225665e-3,3.114307157742194e-4,2.2999143721447402e-4,4.507875903376012e-4
csv/csv [22043B]/megaparsec  (String),5.442403126101123e-3,5.360810288864445e-3,5.522517704229298e-3,2.383469640264318e-4,1.8279694712229608e-4,3.092681588225195e-4
csv/csv [22043B]/megaparsec  (Text),6.686132149978454e-3,6.514595814594983e-3,6.932949497941067e-3,6.344962404358043e-4,4.7720708852854436e-4,9.47370601809904e-4
idents/idents [799B]/typed-peg   (String),5.4654231386604324e-5,5.146935472369587e-5,5.8341845788318494e-5,1.1598111658693679e-5,9.983537963868188e-6,1.4713565419488356e-5
idents/idents [799B]/megaparsec  (String),2.9401580967140256e-5,2.801637794982336e-5,3.1162953465380993e-5,5.886648682312161e-6,5.091362628806276e-6,6.841583386829695e-6
idents/idents [799B]/megaparsec  (Text),5.522710048763743e-5,5.2439682812087664e-5,5.89233827181225e-5,1.0187266076714776e-5,8.339796794564223e-6,1.2741178711378748e-5
idents/idents [3999B]/typed-peg   (String),2.7131344089567345e-4,2.5538761308405345e-4,2.86238282098411e-4,4.950932495141187e-5,4.407410321399502e-5,5.862384452506615e-5
idents/idents [3999B]/megaparsec  (String),1.7957401057767057e-4,1.7014822058834838e-4,1.9158582258427462e-4,3.898642396041586e-5,3.3085795337565534e-5,4.665787614923489e-5
idents/idents [3999B]/megaparsec  (Text),4.054634249723809e-4,3.8174925318287074e-4,4.342186234674854e-4,8.202547238422743e-5,6.653580919578653e-5,1.1088247116443046e-4
idents/idents [15999B]/typed-peg   (String),9.503217449268442e-4,8.873549810837857e-4,1.0522783461761455e-3,2.487175354391475e-4,1.507327112564661e-4,3.6241082066189393e-4
idents/idents [15999B]/megaparsec  (String),6.449201879415372e-4,6.211822316096717e-4,6.728090016516312e-4,8.074617950859372e-5,6.078294237656923e-5,1.1102583728733478e-4
idents/idents [15999B]/megaparsec  (Text),1.4622120349010715e-3,1.36461407938984e-3,1.5931916811364156e-3,4.0829452092131234e-4,3.4593163856345743e-4,5.507372360350087e-4
json/json [811B]/typed-peg   (String),1.211965541171171e-4,1.1601884681645356e-4,1.2920019932346707e-4,2.2319880464192173e-5,1.6356398455044713e-5,2.906408060486619e-5
json/json [811B]/megaparsec  (String),8.613101899966837e-5,8.475710662558808e-5,8.756698564930337e-5,4.5648245255652215e-6,4.187369885097318e-6,5.127243544755469e-6
json/json [811B]/megaparsec  (Text),1.4727802787666344e-4,1.4546940981755905e-4,1.4883060080232225e-4,5.71083946295813e-6,4.703733863338686e-6,7.079787389285808e-6
json/json [4062B]/typed-peg   (String),5.964207620025941e-4,5.86529359723829e-4,6.089029217039054e-4,3.712991312417699e-5,3.18460931690002e-5,4.585445335415465e-5
json/json [4062B]/megaparsec  (String),4.5708700860759566e-4,4.470699856893581e-4,4.7179685367312874e-4,3.9580893602133394e-5,3.214374143604125e-5,4.929429631583684e-5
json/json [4062B]/megaparsec  (Text),7.944991655453096e-4,7.776710835638465e-4,8.116895620323319e-4,5.6213338235682774e-5,4.6725110326327e-5,7.020967782290454e-5
json/json [16257B]/typed-peg   (String),4.104643022980509e-3,3.999478288620469e-3,4.24473752231135e-3,3.6889490434848773e-4,2.924916396939465e-4,4.677560286650113e-4
json/json [16257B]/megaparsec  (String),2.4019674063292355e-3,2.3112460119688355e-3,2.5252611666588547e-3,3.330882288269431e-4,2.3819781528785608e-4,4.6458406788037757e-4
json/json [16257B]/megaparsec  (Text),3.5218742752415066e-3,3.418604599089733e-3,3.6487982782682084e-3,3.716632039694611e-4,3.1312458058150883e-4,4.932750946852036e-4
nested/nested [101B]/typed-peg   (String),1.899669785721468e-5,1.813415863878045e-5,2.012129906714739e-5,3.5289603229089585e-6,2.8714022768654398e-6,4.8522801345028126e-6
nested/nested [101B]/megaparsec  (String),1.316216988468728e-5,1.2237928562072468e-5,1.4092980041072816e-5,3.20290770557879e-6,2.8692005365103236e-6,3.6598211013590872e-6
nested/nested [101B]/megaparsec  (Text),1.5733470599805022e-5,1.5217755027195997e-5,1.630360036101151e-5,1.8648012038569178e-6,1.5123918766833585e-6,2.291400320688863e-6
nested/nested [401B]/typed-peg   (String),7.410643304427875e-5,7.023494914426334e-5,7.739519780822416e-5,1.1542802559101969e-5,1.0052164936044755e-5,1.3110972291713372e-5
nested/nested [401B]/megaparsec  (String),7.493124283018604e-5,7.195170975053699e-5,7.672111793820017e-5,7.497558300358247e-6,4.197271146003023e-6,1.1362221916301274e-5
nested/nested [401B]/megaparsec  (Text),6.873920010625231e-5,6.66250435001331e-5,7.138625293949397e-5,7.620464277715306e-6,6.5426800249567445e-6,9.013059971339194e-6
"quoted/quoted [749B]/typed-peg   (!'""' .)*",6.512444551090854e-5,6.080286216338663e-5,6.948086741694604e-5,1.610865480387744e-5,1.460496649156718e-5,1.9262241729691114e-5
"quoted/quoted [749B]/typed-peg   [^""]*",3.5247923661462755e-5,3.411047692039651e-5,3.67738062609606e-5,4.337643450797649e-6,3.253487597633276e-6,5.640983510416863e-6
quoted/quoted [749B]/megaparsec  (String),2.0177900876883207e-5,1.931940538158915e-5,2.125010425815083e-5,3.417945526030343e-6,2.7721364190488918e-6,4.573523449238478e-6
