Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),6.412112519244286e-5,6.220733310211528e-5,6.632786452308099e-5,7.06743068951469e-6,5.381531105533133e-6,9.487472032621296e-6
arith/arith [308B]/megaparsec  (String),5.91436046537315e-5,5.781463715159434e-5,6.074310884928899e-5,4.564252323903296e-6,3.7232991172943068e-6,5.700162275216402e-6
arith/arith [308B]/megaparsec  (Text),7.22488128161953e-5,7.076072547729611e-5,7.538326888457756e-5,6.354973027566377e-6,3.836696164984864e-6,1.1548528114282993e-5
arith/arith [1230B]/typed-peg   (String),2.671939915007241e-4,2.6093043205007956e-4,2.765441844978707e-4,2.6200037670023164e-5,2.029789638911766e-5,3.472415112178716e-5
arith/arith [1230B]/megaparsec  (String),2.5230689723318715e-4,2.466202053794764e-4,2.617066046515575e-4,2.5481147444994926e-5,1.7871544309241372e-5,3.9070752101387e-5
arith/arith [1230B]/megaparsec  (Text),2.9580757345950957e-4,2.8944590069428553e-4,3.036897551834167e-4,2.315055307051504e-5,1.764267243769982e-5,3.0913592383778214e-5
arith/arith [4897B]/typed-peg   (String),1.1150482764347798e-3,1.0857944002197577e-3,1.1537784573244746e-3,1.1700844905484409e-4,8.283415904361977e-5,1.7213349766627485e-4
arith/arith [4897B]/megaparsec  (String),1.0732488734913807e-3,1.025612833075409e-3,1.1475453563431865e-3,1.955600104694698e-4,1.3320203737338647e-4,2.6033449997891355e-4
arith/arith [4897B]/megaparsec  (Text),1.2813447007872071e-3,1.245701054572886e-3,1.3330051683927155e-3,1.4590643500090884e-4,1.0595490462881215e-4,1.9644402085187347e-4
csv/csv [1105B]/typed-peg   (String),1.8772774337867028e-4,1.8107144319732155e-4,1.9748286699333622e-4,2.651020676344453e-5,1.909645504877915e-5,3.629584929387177e-5
csv/csv [1105B]/megaparsec  (String),1.8428135376635492e-4,1.7892557298341847e-4,1.9339868497030382e-4,2.424746613553425e-5,1.342907991040735e-5,4.157277770420568e-5
csv/csv [1105B]/megaparsec  (Text),2.2660431445697783e-4,2.2022089190172216e-4,2.4178045706624437e-4,3.1171225958498735e-5,1.7958410045174688e-5,5.049512272643376e-5
csv/csv [5517B]/typed-peg   (String),9.452692425916693e-4,9.181741068645516e-4,9.77951373500873e-4,1.0335413015029308e-4,7.974992054182794e-5,1.320752590377088e-4
csv/csv [5517B]/megaparsec  (String),1.0713524396043456e-3,1.0249372991757116e-3,1.1363181184558774e-3,1.8796749417677137e-4,1.4790921577728273e-4,2.3195387219267268e-4
csv/csv [5517B]/megaparsec  (Text),1.154870903362349e-3,1.1124685499805625e-3,1.2190797577442507e-3,1.730190348976525e-4,1.16625923303699e-4,2.6008091436341906e-4
csv/csv [22043B]/typed-peg   (String),6.502810417918424e-3,6.116329131577529e-3,6.932697800821489e-3,1.105739925793049e-3,9.336172127619746e-4,1.343128303276604e-3
csv/csv [22043B]/megaparsec  (String),6.116755338789147e-3,5.746238022868842e-3,6.527726155830962e-3,1.2178413185914042e-3,1.030931220715102e-3,1.4908570509290459e-3
csv/csv [22043B]/megaparsec  (Text),6.460833130491202e-3,6.141610386389652e-3,6.896060044884382e-3,1.0799949989111842e-3,7.688590580622842e-4,1.4567946614118617e-3
idents/idents [799B]/typed-peg   (String),2.5362906707490595e-5,2.4934078527970322e-5,2.5849067018763033e-5,1.4581108175590619e-6,1.1014850377439264e-6,2.1632310855631845e-6
idents/idents [799B]/megaparsec  (String),1.971981728069946e-5,1.9414333106158445e-5,2.010919478523539e-5,1.1726929154699898e-6,8.090794665246634e-7,1.588875677888148e-6
